"coefficient","estimate","std.error","z.value","p.value"
"(Intercept)",-0.552544399968903,0.831726829868779,-0.66433398578242,0.506476573683213
"H",0.0050619180268679,1.11682573398064,0.00453241528454577,0.996383668202908
"J",-0.0272125484704142,1.13182846503529,-0.0240429970716151,0.980818311904951
"J+H",-0.81204732764713,1.20309385644863,-0.674965900037244,0.499697430071222
"J+S",2.61794915795762,1.20422922965877,2.17396247614705,0.0297079533722455
"J+W",1.11399387365381,1.09993864869412,1.01277818992575,0.311166120538907
"S",1.25919081244335,1.11624714732111,1.12805736208626,0.259295694559691
"S+H",-1.51287718031826,1.19107359199792,-1.27017943348114,0.204020721848289
"S+W",-0.966570839654903,1.09015997994964,-0.886632106692778,0.375277002128693
"W",-1.53175498611304,1.26306034757899,-1.21273301711124,0.225231912131835
